Neighborhood,total_units,occupied_units,vacant_units,white_not_hisp,black_not_hisp,hispanic,asian_pacific_isl_not_hisp,two_or_more_not_hisp,other_not_hisp,year
Fairgrounds,3163,2767,396,2123,2490,363,70,234,63,2020
Filmore,2607,2394,213,1898,3098,469,171,260,65,2020
Fischer Development,450,381,69,4,993,21,0,24,3,2020
Florida Area,796,682,114,99,1477,67,3,43,0,2020
Florida Development,52,51,1,2,154,2,1,1,0,2020
French Quarter,4694,2413,2281,2820,262,234,43,125,39,2020
Freret,931,782,149,755,621,162,34,63,8,2020
Garden District,1192,966,226,1574,75,127,32,63,6,2020
Gentilly Terrace,4330,3888,442,1822,5775,600,61,360,109,2020
Gentilly Woods,1309,1190,119,541,2365,124,55,102,19,2020
Gert Town,1687,1381,306,315,3370,340,68,117,37,2020
Hollygrove,2581,2219,362,294,4176,530,10,152,26,2020
Holy Cross,1852,1525,327,693,2469,162,9,137,23,2020
Iberville Development,647,604,43,85,959,34,8,28,8,2020
Irish Channel,1922,1650,272,2000,615,274,50,138,27,2020
Lake Catherine/Village de  L'est,910,739,171,692,830,93,121,42,16,2020
Lake Terrace & Oaks,1180,1016,164,1725,1241,257,234,87,65,2020
Lakeshore/Lake Vista,1606,1502,104,3119,70,319,117,91,14,2020
Lakeview,4018,3759,259,7994,267,821,228,404,37,2020
Lakewood,734,704,30,1533,89,156,40,66,10,2020
Leonidas,3927,3391,536,2954,2952,541,138,293,47,2020
Little Woods,15561,13765,1796,764,33583,1008,224,688,182,2020
Lower Garden District,4919,3907,1012,4205,827,578,250,295,47,2020
Lower Ninth Ward,2199,1883,316,205,4421,178,9,117,52,2020
Marigny,2290,1630,660,1937,174,171,35,122,30,2020
Marlyville/Fontainebleau,2990,2664,326,4021,1152,488,146,264,62,2020
McDonogh,1287,1026,261,446,1670,96,12,77,11,2020
Mid-City,7257,6410,847,6042,4815,2608,250,531,112,2020
Milan,3221,2723,498,2345,2373,482,102,211,38,2020
Milneburg,1992,1812,180,483,3282,216,49,148,55,2020
Navarre,1453,1345,108,2294,129,242,47,99,35,2020
New Aurora/English Turn,2092,1927,165,906,3434,358,454,110,33,2020
Old Aurora,6611,6034,577,4138,9094,1291,374,478,105,2020
Pines Village,1691,1502,189,48,3980,156,5,57,12,2020
Plum Orchard,2147,1920,227,65,4587,554,34,108,42,2020
Pontchartrain Park,796,710,86,64,1925,46,5,49,14,2020
Read Blvd East,2944,2770,174,135,6051,189,1116,151,41,2020
Read Blvd West,1892,1733,159,81,4277,138,96,78,24,2020
Seventh Ward,6706,5439,1267,2066,7695,582,72,406,88,2020
St. Anthony,2239,2019,220,826,3178,362,83,150,43,2020
St. Bernard Area,1252,1156,96,149,2362,127,5,71,18,2020
St. Claude,4200,3537,663,2085,4683,382,38,241,62,2020
St. Roch,4125,3375,750,1268,5285,578,27,256,71,2020
St. Thomas Development,1269,1156,113,603,1445,110,38,89,10,2020
Tall Timbers/Brechtel,5907,5322,585,1882,8699,821,309,322,88,2020
Touro,1783,1461,322,2075,337,262,62,106,17,2020
Treme'/Lafitte,3546,2763,783,1386,3561,451,44,216,90,2020
Tulane/Gravier,1910,1557,353,677,2000,696,100,108,25,2020
U.S. Naval Support Area,936,799,137,414,1354,194,11,88,9,2020
Uptown,3339,2897,442,4234,814,441,133,192,47,2020
Viavant/Venetian Isles,493,361,132,92,642,248,30,27,13,2020
Village de l'est,3068,2844,224,116,4068,1660,2892,126,39,2020
West End,2367,2091,276,3357,283,537,279,162,17,2020
West Lake Forest,2233,1925,308,69,4646,156,8,97,34,2020
West Riverside,2740,2389,351,3362,680,367,113,189,31,2020
Whitney,1051,887,164,367,1527,69,23,72,2,2020
Z-no land mass-all Lake,0,0,0,0,0,0,0,0,0,2020
