Neighborhood,"Children,              2000","Children,              2010","Total                     change,                    2000-10","Percent                   change,                 2000-10","Share of                total,                2000","Share of                    total,                2010","Density per                         sq mi of              developed land,                   2000","Density per                       sq mi of                       developed land,                            2010","Percent children,                      2000","Percent children,                   2010","Children, 2020","Density per                       sq mi of                       developed land,                            2020","Share of                    total,                2020","Total change, 2010-20","Percent change, 2010-20","Percent Children, 2020"
French Quarter,116,81,-35,-30%,0.10%,0.10%,257,175,3%,2%,120,250,0.08%,39,48.1481%,3.4062%
Freret,619,397,-222,-36%,0.50%,0.50%,3210,2026,25%,23%,235,1199,0.15%,-162,-40.8060%,14.3031%
Garden District,208,196,-12,-6%,0.20%,0.30%,988,904,11%,10%,240,1106,0.15%,44,22.4490%,12.7864%
Gentilly Terrace,2767,1903,-864,-31%,2.10%,2.60%,2285,1565,26%,23%,1632,1342,1.05%,-271,-14.2407%,18.7006%
Gentilly Woods,1139,676,-463,-41%,0.90%,0.90%,1666,966,26%,24%,733,1026,0.47%,57,8.4320%,22.8634%
Gert Town,962,587,-375,-39%,0.70%,0.80%,1320,766,20%,16%,632,824,0.41%,45,7.6661%,14.8811%
Hollygrove,1872,1116,-756,-40%,1.40%,1.50%,3013,1821,27%,25%,1179,1923,0.76%,63,5.6452%,22.7255%
Holy Cross,1784,721,-1063,-60%,1.40%,1.00%,2692,1047,32%,27%,786,1153,0.51%,65,9.0153%,22.5021%
Iberville Development,1336,409,-927,-69%,1.00%,0.60%,21180,6527,53%,33%,306,4882,0.20%,-103,-25.1834%,27.2727%
Irish Channel,1211,448,-763,-63%,0.90%,0.60%,2487,929,28%,13%,388,749,0.25%,-60,-13.3929%,12.5000%
Lake Catherine,239,158,-81,-34%,0.20%,0.20%,123,80,14%,18%,NA,NA,NA,NA,NA,NA
Lake Terrace & Oaks,323,375,52,16%,0.20%,0.50%,219,248,15%,15%,340,232,0.22%,-35,-9.3333%,9.4209%
Lakeshore/Lake Vista,852,715,-137,-16%,0.70%,1.00%,767,624,24%,21%,828,761,0.53%,113,15.8042%,22.1984%
Lakeview,2017,1427,-590,-29%,1.60%,1.90%,1258,887,20%,22%,2554,1571,1.64%,1127,78.9769%,26.1922%
Lakewood,477,427,-50,-10%,0.40%,0.60%,540,466,24%,26%,469,519,0.30%,42,9.8361%,24.7624%
Leonidas,2349,1399,-950,-40%,1.80%,1.90%,2628,1587,26%,21%,1165,1323,0.75%,-234,-16.7262%,16.8231%
Little Woods,13670,9190,-4480,-33%,10.60%,12.60%,2435,1559,31%,29%,9874,1650,6.35%,684,7.4429%,27.0899%
Lower Garden District,937,522,-415,-44%,0.70%,0.70%,1012,559,15%,8%,494,519,0.32%,-28,-5.3640%,7.9652%
Lower Ninth Ward,4294,682,-3612,-84%,3.30%,0.90%,2707,425,31%,24%,1410,896,0.91%,728,106.7449%,28.3019%
Marigny,244,134,-110,-45%,0.20%,0.20%,812,451,8%,5%,160,530,0.10%,26,19.4030%,6.4804%
Marlyville/Fontainebleau,1200,977,-223,-19%,0.90%,1.30%,1903,1525,18%,17%,1076,1680,0.69%,99,10.1331%,17.5444%
McDonogh,871,663,-208,-24%,0.70%,0.90%,2086,1497,31%,27%,508,1160,0.33%,-155,-23.3786%,21.9723%
Mid-City,3478,2330,-1148,-33%,2.70%,3.20%,2102,1441,17%,16%,1859,1147,1.19%,-471,-20.2146%,12.9475%
Milan,1839,1037,-802,-44%,1.40%,1.40%,3509,1966,25%,20%,883,1674,0.57%,-154,-14.8505%,15.9070%
Milneburg,1441,808,-633,-44%,1.10%,1.10%,1987,1093,26%,24%,916,1239,0.59%,108,13.3663%,21.6395%
Navarre,512,352,-160,-31%,0.40%,0.50%,733,536,18%,15%,522,782,0.34%,170,48.2955%,18.3415%
New Aurora/English Turn,1842,1543,-299,-16%,1.40%,2.10%,1050,868,32%,27%,1211,161,0.78%,-332,-21.5165%,22.8706%
Old Aurora,4170,4179,9,0%,3.20%,5.70%,1645,1600,26%,25%,3454,1387,2.22%,-725,-17.3486%,22.3127%
Pines Village,1662,1040,-622,-37%,1.30%,1.40%,1302,815,33%,30%,1292,1015,0.83%,252,24.2308%,30.3429%
Plum Orchard,2041,1043,-998,-49%,1.60%,1.40%,2090,1088,29%,26%,1591,1601,1.02%,548,52.5407%,29.5176%
Pontchartrain Park,541,364,-177,-33%,0.40%,0.50%,594,397,21%,25%,415,448,0.27%,51,14.0110%,19.7337%
Read Blvd East,2283,1830,-453,-20%,1.80%,2.50%,725,572,28%,25%,1658,467,1.07%,-172,-9.3989%,21.5801%
Read Blvd West,1604,1127,-477,-30%,1.20%,1.50%,2064,1461,29%,27%,1092,1384,0.70%,-35,-3.1056%,23.2637%
Seventh Ward,5192,2519,-2673,-51%,4.00%,3.40%,4479,2154,31%,25%,1972,1687,1.27%,-547,-21.7150%,18.0768%
St. Anthony,1227,877,-350,-29%,0.90%,1.20%,1951,1387,23%,25%,1085,1755,0.70%,208,23.7172%,23.3735%
St. Bernard Area,2849,272,-2577,-90%,2.20%,0.40%,7972,777,44%,28%,757,2201,0.49%,485,178.3088%,27.7086%
St. Claude,3773,1528,-2245,-60%,2.90%,2.10%,3688,1506,32%,22%,1319,1300,0.85%,-209,-13.6780%,17.6078%
St. Roch,3718,1637,-2081,-56%,2.90%,2.20%,2966,1282,31%,25%,1527,1197,0.98%,-110,-6.7196%,20.4008%
St. Thomas Development,1291,590,-701,-54%,1.00%,0.80%,5818,2569,44%,27%,526,2210,0.34%,-64,-10.8475%,22.9194%
