Neighborhood,Population,"Occupied 
units",Total group quarters population,Total institutional,"Adult correctional
facilties","Juvenile 
facilities","Nursing 
facilities",Other institutional,Total noninstitutional,"College/
university student housing","Military
quarters",Other  noninstitutional,Average household size
St. Thomas Development,2295,1156,0,0,0,0,0,0,0,0,0,0,1.99
Tall Timbers/Brechtel,12121,5322,264,250,0,0,250,0,14,0,0,14,2.23
Touro,2859,1461,365,327,0,0,295,32,38,0,0,38,1.71
Treme'/Lafitte,5748,2763,341,0,0,0,0,0,341,0,0,341,1.96
Tulane/Gravier,3606,1557,396,0,0,0,0,0,396,197,0,199,2.06
U.S. Naval Support Area,2070,799,0,0,0,0,0,0,0,0,0,0,2.59
Uptown,5861,2897,27,0,0,0,0,0,27,0,0,27,2.01
Viavant/Venetian Isles,1052,361,204,118,0,0,118,0,86,0,31,55,2.35
Village de l'est,8901,2844,0,0,0,0,0,0,0,0,0,0,3.13
West End,4635,2091,0,0,0,0,0,0,0,0,0,0,2.22
West Lake Forest,5010,1925,24,0,0,0,0,0,24,0,0,24,2.59
West Riverside,4742,2389,120,108,0,18,90,0,12,0,0,12,1.93
Whitney,2060,887,20,0,0,0,0,0,20,0,0,20,2.3
Z-no land mass-all Lake,0,0,0,0,0,0,0,0,0,0,0,0,NA
Total,383997,165125,15534,3851,1721,94,2004,32,11683,9569,31,2083,162.2
